seed,test_size,n_common,n_test,gf_head,scgpt_head,gf_accuracy,gf_macro_f1,gf_macro_f1_no_platelet,scgpt_accuracy,scgpt_macro_f1,scgpt_macro_f1_no_platelet,gf_f1__B,gf_f1__DC,gf_f1__Mono,gf_f1__NK,gf_f1__Platelet,gf_f1__T,scgpt_f1__B,scgpt_f1__DC,scgpt_f1__Mono,scgpt_f1__NK,scgpt_f1__Platelet,scgpt_f1__T
-1,0.2,2700,540,sgd,sgd,0.6940123456790123,0.6416367730534419,0.6565038102038129,0.9062962962962964,0.8857591637535497,0.8899744885677517,0.6961614263372726,0.5416864821323258,0.6996846015679036,0.580848698717467,0.5673015873015873,0.7641378422640958,0.9530619181872807,0.8005433979775599,0.9072769780740112,0.8612465888231445,0.8646825396825398,0.9277435597767622
-2,0.2,2700,540,sgd,sgd,0.020026018583456283,0.04889646206774244,0.021437932591248852,0.01184865857364439,0.02660586537129749,0.015494584331898414,0.051827712023125125,0.059709379072477614,0.04011667322087371,0.03642348160662482,0.2707225378911398,0.01797925065719663,0.015372190239545514,0.05271177369962085,0.0261471035811102,0.031684687680552395,0.12050354922995717,0.012191976593178404
0,0.2,2700,540,sgd,sgd,0.7018518518518518,0.6522946643007531,0.6494202638275703,0.9092592592592592,0.9089289417843668,0.8907147301412401,0.7338129496402878,0.4444444444444444,0.6586826347305389,0.64,0.6666666666666666,0.7701612903225806,0.9565217391304348,0.7857142857142857,0.9032258064516129,0.8770053475935828,1.0,0.9311064718162839
1,0.2,2700,540,sgd,sgd,0.7,0.6983709298986286,0.6666165444497828,0.9037037037037037,0.9070869143643594,0.8885042972372315,0.7153284671532847,0.5517241379310345,0.7528089887640449,0.5472636815920398,0.8571428571428571,0.7659574468085106,0.9264705882352942,0.8205128205128205,0.9278350515463918,0.847457627118644,1.0,0.9202453987730062
2,0.2,2700,540,sgd,sgd,0.687037037037037,0.591385991517306,0.6296631898207672,0.9074074074074074,0.884416066870263,0.8898707088157443,0.65625,0.44776119402985076,0.6628571428571428,0.6161616161616161,0.4,0.7652859960552268,0.9370629370629371,0.7901234567901234,0.9090909090909091,0.8854166666666666,0.8571428571428571,0.9276595744680851
3,0.2,2700,540,sgd,sgd,0.6944444444444444,0.7230831607767825,0.6676997929321391,0.912962962962963,0.9188674578950081,0.9026409494740099,0.7086614173228346,0.6052631578947368,0.7167630057803468,0.5588235294117647,1.0,0.7489878542510121,0.9496402877697842,0.8470588235294118,0.9239130434782609,0.8666666666666667,1.0,0.9259259259259259
4,0.2,2700,540,sgd,sgd,0.6962962962962963,0.6371795161228809,0.664615419347457,0.9222222222222223,0.9277794213645404,0.9133353056374485,0.7692307692307693,0.5365853658536586,0.6966292134831461,0.5654450261780105,0.5,0.7551867219917012,0.9714285714285714,0.8536585365853658,0.9468085106382979,0.8633879781420765,1.0,0.9313929313929314
5,0.2,2700,540,sgd,sgd,0.6851851851851852,0.6101870982449388,0.6522245178939265,0.9259259259259259,0.924640184980921,0.9095682219771053,0.6861313868613139,0.5647058823529412,0.6706586826347305,0.5797101449275363,0.4,0.7599164926931107,0.9787234042553191,0.8192771084337349,0.9148936170212766,0.8888888888888888,1.0,0.946058091286307
6,0.2,2700,540,sgd,sgd,0.6685185185185185,0.5861143995073942,0.623337279408873,0.8851851851851852,0.8555937830669668,0.8667125396803602,0.6766917293233082,0.49411764705882355,0.6227544910179641,0.5760869565217391,0.4,0.7470355731225297,0.9436619718309859,0.7654320987654321,0.91005291005291,0.8068181818181818,0.8,0.9075975359342916
7,0.2,2700,540,sgd,sgd,0.6925925925925925,0.6918397941539044,0.6702077529846854,0.9222222222222223,0.892398987071768,0.8994502130575504,0.7368421052631579,0.5974025974025974,0.6823529411764706,0.576271186440678,0.8,0.7581699346405228,0.9655172413793104,0.775,0.9148936170212766,0.8924731182795699,0.8571428571428571,0.9493670886075949
8,0.2,2700,540,sgd,sgd,0.6703703703703704,0.6057335809796213,0.6268802971755456,0.912962962962963,0.8789087702739483,0.8946905243287381,0.7111111111111111,0.4819277108433735,0.6740331491712708,0.5157894736842106,0.5,0.7515400410677618,0.9333333333333333,0.8045977011494253,0.9081081081081082,0.8888888888888888,0.8,0.9385245901639344
9,0.2,2700,540,sgd,sgd,0.6962962962962963,0.6384418860556581,0.6518445489810756,0.9203703703703704,0.9083343440064607,0.8900012128077528,0.6515151515151515,0.5542168674698795,0.6511627906976745,0.625,0.5714285714285714,0.7773279352226721,0.9640287769784173,0.7294117647058823,0.8756756756756757,0.9247311827956989,1.0,0.9561586638830898
10,0.2,2700,540,sgd,sgd,0.6907407407407408,0.6329796011441301,0.659575521372956,0.9148148148148149,0.8863456816186847,0.9036148179424217,0.7086614173228346,0.525,0.7514450867052023,0.5596330275229358,0.5,0.7531380753138075,0.9571428571428572,0.8372093023255814,0.9239130434782609,0.8681318681318682,0.8,0.9316770186335404
11,0.2,2700,540,sgd,sgd,0.6833333333333333,0.5452882348207114,0.6543458817848538,0.8740740740740741,0.8184994716810553,0.8488660326839332,0.6370370370370371,0.5952380952380952,0.6896551724137931,0.5971563981042654,0.0,0.7526427061310782,0.9411764705882353,0.7142857142857143,0.8165680473372781,0.8539325842696629,0.6666666666666666,0.9183673469387755
12,0.2,2700,540,sgd,sgd,0.6703703703703704,0.6039797821257599,0.6247757385509118,0.9092592592592592,0.8609255484073032,0.8731106580887639,0.6766917293233082,0.4827586206896552,0.6385542168674698,0.5743589743589743,0.5,0.7515151515151515,0.9420289855072463,0.675,0.8842105263157894,0.9180327868852459,0.8,0.9462809917355371
13,0.2,2700,540,sgd,sgd,0.6666666666666666,0.6104117464625912,0.6324940957551095,0.8981481481481481,0.8702959309209309,0.8729265456765457,0.6129032258064516,0.5909090909090909,0.6666666666666666,0.5490196078431373,0.5,0.7429718875502008,0.965034965034965,0.7466666666666667,0.90625,0.8214285714285714,0.8571428571428571,0.9252525252525252
14,0.2,2700,540,sgd,sgd,0.6703703703703704,0.6914664881836963,0.6297597858204356,0.9074074074074074,0.8764760764082814,0.9017712916899375,0.5645161290322581,0.625,0.6745562130177515,0.5405405405405406,1.0,0.7441860465116279,0.948905109489051,0.85,0.9368421052631579,0.8571428571428571,0.75,0.9159663865546218
15,0.2,2700,540,sgd,sgd,0.6722222222222223,0.6677222294215724,0.6412666753058869,0.9,0.8777509249816925,0.8818725385494597,0.656934306569343,0.575,0.6706586826347305,0.5686274509803921,0.8,0.7351129363449692,0.9333333333333333,0.7906976744186046,0.8839779005524862,0.8764044943820225,0.8571428571428571,0.9249492900608519
16,0.2,2700,540,sgd,sgd,0.674074074074074,0.6154587503698838,0.6385505004438606,0.9092592592592592,0.8780877869825711,0.8937053443790853,0.6511627906976745,0.5753424657534246,0.6742857142857143,0.5454545454545454,0.5,0.7465069860279441,0.965034965034965,0.8,0.9139784946236559,0.8586956521739131,0.8,0.9308176100628931
17,0.2,2700,540,sgd,sgd,0.7296296296296296,0.7354248429023383,0.682509811482806,0.9185185185185185,0.9182493185530306,0.9018991822636367,0.7272727272727273,0.5063291139240507,0.7486033519553073,0.6336633663366337,1.0,0.7966804979253111,0.9645390070921985,0.813953488372093,0.9197860962566845,0.8715083798882681,1.0,0.9397089397089398
18,0.2,2700,540,sgd,sgd,0.7166666666666667,0.7029642096365869,0.6835570515639043,0.8944444444444445,0.9046666103563812,0.8855999324276574,0.688,0.5952380952380952,0.7528089887640449,0.6039603960396039,0.8,0.7777777777777778,0.9361702127659575,0.8602150537634409,0.9222222222222223,0.7976878612716763,1.0,0.9117043121149897
19,0.2,2700,540,sgd,sgd,0.6611111111111111,0.6455455983928017,0.614654718071362,0.8814814814814815,0.8771075170549182,0.8525290204659018,0.6716417910447762,0.4782608695652174,0.6436781609195402,0.5196078431372549,0.8,0.7600849256900213,0.920863309352518,0.6933333333333334,0.8958333333333334,0.8465608465608465,1.0,0.906054279749478
20,0.2,2700,540,sgd,sgd,0.7166666666666667,0.6750497112248396,0.6767263201364742,0.9074074074074074,0.8810171981228194,0.8972206377473834,0.6962962962962963,0.5316455696202531,0.745945945945946,0.6354166666666666,0.6666666666666666,0.7743271221532091,0.965034965034965,0.8387096774193549,0.8863636363636364,0.8677248677248677,0.8,0.9282700421940928
21,0.2,2700,540,sgd,sgd,0.6962962962962963,0.6081001007137675,0.6630534541898545,0.912962962962963,0.920433394119283,0.9045200729431396,0.7272727272727273,0.5263157894736842,0.7011494252873564,0.6069651741293532,0.3333333333333333,0.7535641547861507,0.9726027397260274,0.8636363636363636,0.9162011173184358,0.8439306358381503,1.0,0.9262295081967213
22,0.2,2700,540,sgd,sgd,0.6981481481481482,0.5638514908179714,0.6766217889815656,0.9037037037037037,0.8849847307466142,0.9019816768959371,0.672,0.65,0.7150837988826816,0.580952380952381,0.0,0.7650727650727651,0.9583333333333334,0.8863636363636364,0.9398907103825137,0.8131868131868132,0.8,0.9121338912133892
23,0.2,2700,540,sgd,sgd,0.7314814814814815,0.7098020500593495,0.6803338886426479,0.9074074074074074,0.886721603130196,0.8926373523276638,0.6771653543307087,0.525,0.7393939393939394,0.6536585365853659,0.8571428571428571,0.8064516129032258,0.9496402877697842,0.8222222222222222,0.8764044943820225,0.88268156424581,0.8571428571428571,0.9322381930184805
24,0.2,2700,540,sgd,sgd,0.7203703703703703,0.6767824339874063,0.6788055874515543,0.9074074074074074,0.862644024296706,0.9018394958227137,0.7887323943661971,0.475,0.7619047619047619,0.5841584158415841,0.6666666666666666,0.7842323651452282,0.9726027397260274,0.8433734939759037,0.946236559139785,0.8297872340425532,0.6666666666666666,0.9171974522292994
25,0.2,2700,540,sgd,sgd,0.6907407407407408,0.6255648537228279,0.6506778244673934,0.9018518518518519,0.8662104059498374,0.879452487139805,0.7058823529411765,0.47761194029850745,0.7380952380952381,0.5833333333333334,0.5,0.7484662576687117,0.9496402877697842,0.7532467532467533,0.9090909090909091,0.8603351955307262,0.8,0.9249492900608519
26,0.2,2700,540,sgd,sgd,0.6944444444444444,0.6311551556766988,0.6573861868120385,0.9018518518518519,0.8765490775314211,0.8918588930377054,0.7878787878787878,0.49411764705882355,0.6961325966850829,0.5373134328358209,0.5,0.7714884696016772,0.9645390070921985,0.8444444444444444,0.9120879120879121,0.8160919540229885,0.8,0.9221311475409836
27,0.2,2700,540,sgd,sgd,0.7333333333333333,0.6562727806224916,0.6875273367469898,0.912962962962963,0.9108729184803107,0.8930475021763729,0.8055555555555556,0.475,0.7283236994219653,0.6262626262626263,0.5,0.8024948024948025,0.9370629370629371,0.7954545454545454,0.8839779005524862,0.91005291005291,1.0,0.9386892177589852
28,0.2,2700,540,sgd,sgd,0.7055555555555556,0.5648205305430553,0.6777846366516663,0.8944444444444445,0.8248645762667342,0.8755517772343667,0.6821705426356589,0.625,0.7262569832402235,0.5714285714285714,0.0,0.7840670859538784,0.950354609929078,0.759493670886076,0.8852459016393442,0.8636363636363636,0.5714285714285714,0.9190283400809717
29,0.2,2700,540,sgd,sgd,0.7055555555555556,0.6518315792169113,0.6821978950602936,0.9092592592592592,0.8831172453191165,0.8997406943829398,0.7014925373134329,0.6436781609195402,0.7386363636363636,0.5533980582524272,0.5,0.773784355179704,0.9714285714285714,0.8372093023255814,0.9247311827956989,0.8387096774193549,0.8,0.9266247379454927
